"Name","CompanyName"
"Avanade.AzureStorage","cspeers"
"Avanade.AzureVault","cspeers"
"Avanade.CoolFunctions","cspeers"
"Avanade.KuduTools","cspeers"
"Avanade.SecureString","cspeers"
"Avanti.PowerShellSDK","adamstirtan"
"Avatax","pswetz"
"AVDManagementFramework","WillyMoselhy"
"AVIREST","andybgrant"
"avmtools","gincules"
"AvroCmdlets","CData"
"AvroTools","Yaniv.Ru"
"AVSHostConnectorModule","dotan2401"
"Await","LeeHolmes"
"AwakeCoding.DebugTools","awakecoding"
"AwakeCoding.PSRemoting","awakecoding"
"awp","bentaylor"
"AWS_Tools_AddOns","Clifra_Jones"
"aws-toolbox","fireflycons"
"aws-toolbox.netcore","fireflycons"
"AWS-Utils","HenrikStanley"
"AWS.ImageBuilder.DocumentGenerator","javydekoning"
"AWS.SAML","eelkram"
"AWS.Tools.AccessAnalyzer","aws-dotnet-sdk-team"
"AWS.Tools.Account","aws-dotnet-sdk-team"
"AWS.Tools.ACMPCA","aws-dotnet-sdk-team"
"AWS.Tools.AIOps","aws-dotnet-sdk-team"
"AWS.Tools.AlexaForBusiness","aws-dotnet-sdk-team"
"AWS.Tools.Amplify","aws-dotnet-sdk-team"
"AWS.Tools.AmplifyBackend","aws-dotnet-sdk-team"
"AWS.Tools.AmplifyUIBuilder","aws-dotnet-sdk-team"
"AWS.Tools.APIGateway","aws-dotnet-sdk-team"
"AWS.Tools.ApiGatewayManagementApi","aws-dotnet-sdk-team"
"AWS.Tools.ApiGatewayV2","aws-dotnet-sdk-team"
"AWS.Tools.AppConfig","aws-dotnet-sdk-team"
"AWS.Tools.AppConfigData","aws-dotnet-sdk-team"
"AWS.Tools.AppFabric","aws-dotnet-sdk-team"
"AWS.Tools.Appflow","aws-dotnet-sdk-team"
"AWS.Tools.AppIntegrationsService","aws-dotnet-sdk-team"
"AWS.Tools.ApplicationAutoScaling","aws-dotnet-sdk-team"
"AWS.Tools.ApplicationCostProfiler","aws-dotnet-sdk-team"
"AWS.Tools.ApplicationDiscoveryService","aws-dotnet-sdk-team"
"AWS.Tools.ApplicationInsights","aws-dotnet-sdk-team"
"AWS.Tools.ApplicationSignals","aws-dotnet-sdk-team"
"AWS.Tools.AppMesh","aws-dotnet-sdk-team"
"AWS.Tools.AppRegistry","aws-dotnet-sdk-team"
"AWS.Tools.AppRunner","aws-dotnet-sdk-team"
"AWS.Tools.AppStream","aws-dotnet-sdk-team"
"AWS.Tools.AppSync","aws-dotnet-sdk-team"
"AWS.Tools.AppTest","aws-dotnet-sdk-team"
"AWS.Tools.ARCRegionswitch","aws-dotnet-sdk-team"
"AWS.Tools.ARCZonalShift","aws-dotnet-sdk-team"
"AWS.Tools.Artifact","aws-dotnet-sdk-team"
"AWS.Tools.Athena","aws-dotnet-sdk-team"
"AWS.Tools.AuditManager","aws-dotnet-sdk-team"
"AWS.Tools.AugmentedAIRuntime","aws-dotnet-sdk-team"
"AWS.Tools.AutoScaling","aws-dotnet-sdk-team"
"AWS.Tools.AutoScalingPlans","aws-dotnet-sdk-team"
"AWS.Tools.AWSHealth","aws-dotnet-sdk-team"
"AWS.Tools.AWSMarketplaceCommerceAnalytics","aws-dotnet-sdk-team"
"AWS.Tools.AWSMarketplaceMetering","aws-dotnet-sdk-team"
"AWS.Tools.AWSSupport","aws-dotnet-sdk-team"
"AWS.Tools.B2bi","aws-dotnet-sdk-team"
"AWS.Tools.Backup","aws-dotnet-sdk-team"
"AWS.Tools.BackupGateway","aws-dotnet-sdk-team"
"AWS.Tools.BackupSearch","aws-dotnet-sdk-team"
"AWS.Tools.BackupStorage","aws-dotnet-sdk-team"
"AWS.Tools.Batch","aws-dotnet-sdk-team"
"AWS.Tools.BCMDataExports","aws-dotnet-sdk-team"
"AWS.Tools.BCMPricingCalculator","aws-dotnet-sdk-team"
"AWS.Tools.BCMRecommendedActions","aws-dotnet-sdk-team"
"AWS.Tools.Bedrock","aws-dotnet-sdk-team"
"AWS.Tools.BedrockAgent","aws-dotnet-sdk-team"
"AWS.Tools.BedrockAgentCore","aws-dotnet-sdk-team"
"AWS.Tools.BedrockAgentCoreControl","aws-dotnet-sdk-team"
